filename,patchcore_score
Suki_Canon_2014-12-01_02.12.41.jpg,
Kalor_Canon_2014-12-01_02.12.31 2.jpg,
Kalor_Canon_2014-12-01_02.12.31.jpg,33.6258430480957
Suki_Canon_2014-12-01_08.12.41 2.jpg,
Suki_Canon_2014-12-01_08.12.41.jpg,
Kalor_Canon_2014-12-01_11.13.03.jpg,41.20014953613281
Kalor_Canon_2014-12-01_11.13.03 2.jpg,
Kalor_Canon_2014-12-01_11.13.03.jpg,41.20014953613281
Suki_Canon_2014-12-01_17.13.15.jpg,
Kalor_Canon_2014-12-01_17.13.04.jpg,40.449405670166016
Kalor_Canon_2014-12-01_17.13.04 2.jpg,
Suki_Canon_2014-12-01_17.13.15 2.jpg,
Kalor_Canon_2014-12-01_17.13.04.jpg,40.449405670166016
Suki_Canon_2014-12-01_22.12.43.jpg,
Suki_Canon_2014-12-01_22.12.43 2.jpg,
Suki_Canon_2014-12-02_00.12.41.jpg,
Suki_Canon_2014-12-02_00.12.41 2.jpg,
Suki_Canon_2014-12-02_01.12.41 2.jpg,
Suki_Canon_2014-12-02_01.12.41.jpg,
Suki_Canon_2014-12-02_02.12.41 2.jpg,
Kalor_Canon_2014-12-02_02.12.31 2.jpg,
Suki_Canon_2014-12-02_02.12.41.jpg,
Kalor_Canon_2014-12-02_02.12.31.jpg,36.19622802734375
Kalor_Canon_2014-12-02_02.12.31.jpg,36.19622802734375
Suki_Canon_2014-12-02_05.12.42 2.jpg,
Suki_Canon_2014-12-02_05.12.42.jpg,
Kalor_Canon_2014-12-02_05.12.32 2.jpg,
Kalor_Canon_2014-12-02_05.12.32.jpg,39.7337532043457
Kalor_Canon_2014-12-02_05.12.32.jpg,39.7337532043457
Suki_Canon_2014-12-02_08.12.41.jpg,
Suki_Canon_2014-12-02_08.12.41 2.jpg,
Kalor_Canon_2014-12-02_11.13.03.jpg,37.855201721191406
Kalor_Canon_2014-12-02_11.13.03 2.jpg,
Kalor_Canon_2014-12-02_11.13.03.jpg,37.855201721191406
Suki_Canon_2014-12-02_17.13.15 2.jpg,
Suki_Canon_2014-12-02_17.13.15.jpg,
Suki_Canon_2014-12-02_22.12.43.jpg,
Suki_Canon_2014-12-02_22.12.43 2.jpg,
Kalor_Canon_2014-12-02_22.12.53.jpg,38.620357513427734
Kalor_Canon_2014-12-02_22.12.53 2.jpg,
Kalor_Canon_2014-12-02_22.12.53.jpg,38.620357513427734
Kalor_Canon_2014-12-02_23.12.53 2.jpg,
Kalor_Canon_2014-12-02_23.12.53.jpg,46.60239791870117
Kalor_Canon_2014-12-02_23.12.53.jpg,46.60239791870117
